OrderID,OrderDate,OrderTime,CustomerID,Payment_Type,Station
27,2/4/2019,1:44:00 PM,97062446,Credit,POS1
74,2/8/2019,10:55:00 AM,Unknown,,POS2
75,2/8/2019,10:57:00 AM,Unknown,,POS2
79,2/8/2019,11:02:00 AM,Unknown,,POS1
117,2/8/2019,8:04:00 PM,Unknown,,POS1
119,2/8/2019,8:08:00 PM,Unknown,Credit,POS2
120,2/8/2019,8:08:00 PM,Unknown,,POS1
145,2/9/2019,6:24:00 PM,Unknown,Credit,POS1
149,2/9/2019,6:30:00 PM,99227026,Credit,POS1
151,2/9/2019,6:39:00 PM,Unknown,Credit,POS1
156,2/9/2019,6:51:00 PM,68962244,Credit,POS1
157,2/9/2019,7:12:00 PM,7347918,Credit,POS1
160,2/9/2019,7:52:00 PM,47070294,Credit,POS1
182,2/10/2019,10:42:00 AM,15129138,Credit,POS2
184,2/10/2019,10:50:00 AM,31862528,Credit,POS1
185,2/10/2019,11:01:00 AM,Unknown,Credit,POS2
189,2/10/2019,11:05:00 AM,Unknown,Credit,POS1
192,2/10/2019,11:10:00 AM,47438105,Credit,POS1
193,2/10/2019,11:12:00 AM,96539891,Cash,POS1
197,2/10/2019,11:17:00 AM,Unknown,Credit,POS2
199,2/10/2019,11:20:00 AM,98988536,Credit,POS2
200,2/10/2019,11:22:00 AM,70397980,Credit,POS1
201,2/10/2019,11:24:00 AM,Unknown,Credit,POS2
202,2/10/2019,11:31:00 AM,Unknown,Credit,POS1
203,2/10/2019,11:29:00 AM,66998258,Credit,POS2
205,2/10/2019,11:33:00 AM,Unknown,Credit,POS2
206,2/10/2019,11:33:00 AM,44326149,Credit,POS1
207,2/10/2019,11:37:00 AM,67642336,Credit,POS1
208,2/10/2019,11:38:00 AM,69476911,Credit,POS2
210,2/10/2019,11:46:00 AM,47314166,Credit,POS2
211,2/10/2019,11:49:00 AM,25029000,Credit,POS1
212,2/10/2019,11:52:00 AM,94850540,Cash,POS1
213,2/10/2019,11:54:00 AM,11518107,Credit,POS2
214,2/10/2019,11:57:00 AM,36117615,Credit,POS1
215,2/10/2019,11:58:00 AM,89312541,Credit,POS2
216,2/10/2019,11:59:00 AM,44586091,Credit,POS1
217,2/10/2019,12:03:00 PM,55435203,Credit,POS2
218,2/10/2019,12:06:00 PM,6850935,Credit,POS1
219,2/10/2019,12:07:00 PM,Unknown,Credit,POS2
220,2/10/2019,12:08:00 PM,1130509,Credit,POS1
221,2/10/2019,12:10:00 PM,70125376,Credit,POS2
222,2/10/2019,12:11:00 PM,17352698,Credit,POS1
223,2/10/2019,12:14:00 PM,52550115,Credit,POS2
224,2/10/2019,12:16:00 PM,17688958,Credit,POS1
225,2/10/2019,12:17:00 PM,93756262,Credit,POS2
226,2/10/2019,12:21:00 PM,55735596,Credit,POS1
227,2/10/2019,12:23:00 PM,60395010,Credit,POS2
228,2/10/2019,12:25:00 PM,14528530,Credit,POS1
229,2/10/2019,12:26:00 PM,44642267,Credit,POS1
230,2/10/2019,12:31:00 PM,Unknown,Credit,POS2
